epoch,train_loss,train_acc,val_acc,val_macro_f1,seconds
1,1.3161394437154135,0.44333333333333336,0.26666666666666666,0.23633327600045867,3.1537814140319824
2,1.1481702661514281,0.5866666666666667,0.4533333333333333,0.39752814258911817,2.3169498443603516
3,1.0767078765233358,0.6033333333333334,0.4533333333333333,0.44947552447552447,2.493285894393921
4,0.9807679359118143,0.6766666666666666,0.56,0.4427217915590008,2.3784022331237793
5,0.9997253147761027,0.6433333333333333,0.5866666666666667,0.5107368092442719,2.5599138736724854
6,0.9608721113204957,0.6733333333333333,0.6533333333333333,0.6067855326722604,2.3116519451141357
7,0.9191799545288086,0.6633333333333333,0.64,0.6239108409321176,2.4612724781036377
8,0.9363601239522298,0.6966666666666667,0.4666666666666667,0.4329662234560686,2.2693135738372803
9,0.9719708975156148,0.6133333333333333,0.5866666666666667,0.5514768643306379,2.499504804611206
10,0.9502569262186686,0.6466666666666666,0.72,0.7036264441591784,2.4137630462646484
11,0.8693565368652344,0.7,0.64,0.6182241671372106,2.2854795455932617
12,0.8408662350972493,0.75,0.6133333333333333,0.5318627450980392,2.424894094467163
13,0.848067733446757,0.7133333333333334,0.6533333333333333,0.5918220668220668,2.5336923599243164
14,0.8227341683705648,0.7566666666666667,0.6133333333333333,0.5828571428571429,2.3479928970336914
15,0.7889728228251139,0.76,0.6533333333333333,0.6111853832442068,2.2553319931030273
16,0.7775776545206706,0.7633333333333333,0.6266666666666667,0.5999975202102862,2.494925022125244
17,0.8407407426834106,0.7266666666666667,0.6,0.5495076179858789,2.4183104038238525
