epoch,rank,bce,smooth,sparse,aux,loss,val_auc,val_ap,seconds
1,0.9947402867131263,0.6949927422610469,0.7828984742269576,9.741040519198531,2.041268194621464,1.963036284881568,0.5527286135693215,0.5169435945994711,261.52980852127075
2,0.9966090242817717,0.6946072810850803,0.8834439139321165,8.96414826201193,1.9636642411819794,1.9408900325403273,0.6058259587020649,0.611390809404813,241.39748454093933
3,0.999207947801494,0.698211578640548,0.9057844901609721,8.054890265254855,1.9580059130236787,1.9428840815646093,0.6421091445427728,0.648650318360243,240.86818957328796
4,0.9977588040648766,0.6971473785691291,0.9281211129899295,8.439377928679844,1.9307525416590132,1.9330522834130053,0.6094395280235988,0.6355843836180975,240.9017539024353
5,0.9978694930766363,0.6984999796504494,0.9414614605828651,8.368276750516591,1.929443027238426,1.9334002039717428,0.6290560471976401,0.7114896591510796,240.91660952568054
6,0.9356876236837615,0.6656416634906013,1.0073352427040256,8.37600111061672,1.876116338390974,1.838850055100783,0.7029498525073746,0.7424459066708157,240.87752556800842
7,0.8346618297246268,0.659003829243798,0.9654767843631079,8.773407058146015,1.821177878469791,1.7183082371762715,0.7497787610619469,0.7899029498774826,240.842059135437
8,0.7513932766591978,0.6615110193877101,1.0051468405872583,8.67489953048574,1.778220478093849,1.6233589894741587,0.7607669616519174,0.8092186203512169,240.85775518417358
9,0.688866515321739,0.6573408873833763,1.1067789619431228,9.054158641294864,1.7201224439923868,1.5417024690025258,0.741961651917404,0.8056435018565191,240.88901114463806
10,0.6075079010084927,0.6305905070109,1.188621366841707,10.728953247268995,1.66741078379769,1.4325604674951085,0.8262536873156343,0.8586548709885657,240.97299098968506
11,0.5274734232434124,0.5653858487347856,1.21020178145688,11.492911679377347,1.5820006372043922,1.294929045738664,0.6960176991150442,0.7746401010522119,240.82173442840576
12,0.4846880495688825,0.550520422124544,1.3773323122086882,12.536654534486106,1.5779833257573206,1.2444744624619215,0.7783185840707963,0.8300928631451425,240.88275909423828
13,0.4428154916309242,0.5395221771004627,1.4732288270017262,13.066808243287996,1.5239865249432858,1.181404578704504,0.7710914454277286,0.7777626832976943,242.1374807357788
14,0.40611509366968424,0.4973083844923842,1.4506879658291831,13.914503223959755,1.4820876196495392,1.1116877456880965,0.8094395280235988,0.839240651616846,245.50463461875916
15,0.3914222347391945,0.5158703777347486,1.5040171931746875,13.872885127944297,1.4708563205581042,1.1029158572918214,0.8234513274336283,0.8538301474384731,241.40740728378296
16,0.3531699574262536,0.4755963463381624,1.5215538194829177,14.621007179173658,1.4488125440647017,1.0385259635418467,0.7908554572271386,0.8371946804740076,240.36275672912598
17,0.36606982482433226,0.49513419256501673,1.4550178446899862,14.068121602266746,1.4477110092744887,1.0603687513455655,0.784882005899705,0.8356357127803866,248.068589925766
18,0.32448287766994965,0.4463480204108036,1.4539775839192595,15.28741489064956,1.398334025774362,0.980550230627165,0.822787610619469,0.8354522576541434,247.3356511592865
